census_code,prediction_2019
1,1
2,1
3,3
4,1
5,1
6,1
7,1
8,1
10,1
12,1
14,1
16,1
19,1
21,3
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,3
37,3
38,1
39,3
40,3
41,3
42,1
43,2
44,2
45,3
46,2
47,2
48,3
49,3
51,3
53,3
55,3
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,3
69,3
70,3
71,3
72,3
73,2
74,2
75,3
76,3
77,2
78,2
79,2
80,2
81,2
82,3
83,3
84,2
85,2
86,3
88,3
90,3
91,3
92,3
93,3
94,3
95,3
96,3
97,3
98,3
99,2
100,2
101,1
102,1
103,1
104,2
105,2
106,2
107,2
108,2
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,3
128,1
129,1
130,1
132,2
133,2
134,1
135,2
136,2
137,2
138,3
139,2
140,3
141,3
142,2
143,2
144,2
145,2
146,1
147,2
148,2
149,2
150,2
151,1
152,2
153,1
154,1
155,2
156,2
157,3
158,1
159,2
160,2
161,1
162,1
163,2
164,3
165,2
166,2
167,1
168,2
169,2
170,2
171,1
172,2
173,1
174,2
175,2
176,1
177,1
178,2
179,1
180,1
181,1
182,1
183,1
184,2
185,2
186,2
187,1
188,1
189,2
190,1
191,2
192,2
193,2
194,2
195,2
196,2
197,3
198,2
199,2
200,1
201,2
203,2
204,2
205,2
206,2
207,2
208,2
209,2
210,2
211,2
212,2
213,2
214,2
215,2
216,2
217,2
218,2
219,2
220,2
221,2
222,2
223,2
224,2
225,2
226,2
227,2
228,2
229,2
230,2
231,2
232,2
233,2
234,2
235,2
236,2
237,2
238,2
239,2
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,3
249,1
250,1
251,1
252,1
253,1
254,1
255,1
257,1
261,1
262,1
263,1
264,1
265,3
266,1
267,1
270,1
272,1
273,1
274,1
275,1
276,1
277,3
278,1
279,1
280,1
281,1
282,3
283,1
284,1
285,1
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,1
294,1
295,1
296,1
297,1
298,1
299,1
300,1
301,1
302,1
303,2
304,1
305,1
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,1
321,3
323,1
325,1
327,1
328,1
329,1
330,2
331,2
332,2
333,2
334,2
335,2
336,2
337,3
338,2
339,2
340,1
341,2
342,3
343,2
344,2
346,1
347,1
348,1
349,2
350,2
351,2
352,2
353,2
354,2
355,2
356,1
357,3
358,1
360,2
362,1
364,1
366,1
368,1
370,1
371,1
372,1
373,1
374,1
375,1
376,1
377,2
378,2
379,2
380,2
381,3
382,2
383,1
384,1
385,1
386,1
387,2
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,1
396,1
397,1
398,1
399,1
400,1
401,1
402,1
403,1
404,1
405,1
406,1
407,1
408,1
409,1
410,1
411,1
412,1
413,1
414,1
416,1
418,1
419,2
420,2
421,1
422,2
423,1
424,1
425,1
426,1
427,1
428,1
429,1
430,2
431,1
432,1
433,1
434,1
435,1
436,1
437,1
438,1
439,3
440,2
441,1
442,1
443,1
444,3
445,1
446,1
447,1
448,1
449,1
450,1
451,1
452,1
453,1
454,1
455,1
456,1
457,1
458,1
460,1
462,1
464,1
466,1
468,1
469,1
470,1
471,3
472,1
473,3
474,3
475,1
476,3
477,3
478,3
479,1
480,2
481,3
482,1
483,1
484,1
485,1
486,3
487,1
488,3
489,1
490,1
491,1
492,3
494,3
495,3
496,3
497,1
498,1
499,1
500,1
501,1
502,1
503,1
504,1
505,1
506,1
507,1
508,1
509,1
510,1
512,1
513,1
514,1
515,1
516,1
517,1
518,3
519,3
520,1
521,3
522,1
523,1
524,1
525,1
526,1
527,1
528,1
529,1
530,1
531,2
532,1
533,1
534,1
535,1
536,3
537,1
538,1
539,1
540,1
541,1
542,1
543,1
544,3
545,1
546,1
547,3
548,1
549,1
550,1
551,1
552,1
553,1
554,1
555,1
556,1
557,1
558,1
559,1
560,1
561,1
562,1
563,1
564,1
565,1
566,1
567,1
568,1
569,1
570,1
571,1
572,3
573,1
574,1
575,1
576,1
577,1
578,1
579,1
581,1
583,1
585,1
586,1
587,1
588,1
589,1
590,1
591,1
592,1
593,1
594,3
595,1
596,1
597,1
598,1
599,1
600,1
601,1
602,1
603,1
604,3
605,1
606,1
607,1
608,1
609,1
610,1
611,3
612,1
613,1
614,1
615,1
616,1
617,1
618,1
619,1
620,1
621,1
622,1
623,1
624,1
626,1
627,1
629,1
630,1
632,1
634,3
635,3
636,3
637,3
638,1
639,3
